Character Name	Character	Entity	Hex Entity	Dec	Hex	Bin
BRAILLE PATTERN DOTS-134678	⣭	&#10477;	&#x28ED	183	B7	10110111
BRAILLE PATTERN DOTS-13468	⢭	&#10413;	&#x28AD	181	B5	10110101
BRAILLE PATTERN DOTS-1347	⡍	&#10317;	&#x284D	178	B2	10110010
BRAILLE PATTERN DOTS-13478	⣍	&#10445;	&#x28CD	179	B3	10110011
BRAILLE PATTERN DOTS-1348	⢍	&#10381;	&#x288D	177	B1	10110001
BRAILLE PATTERN DOTS-135	⠕	&#10261;	&#x2815	168	A8	10101000
BRAILLE PATTERN DOTS-1356	⠵	&#10293;	&#x2835	172	AC	10101100
BRAILLE PATTERN DOTS-13567	⡵	&#10357;	&#x2875	174	AE	10101110
BRAILLE PATTERN DOTS-135678	⣵	&#10485;	&#x28F5	175	AF	10101111
BRAILLE PATTERN DOTS-13568	⢵	&#10421;	&#x28B5	173	AD	10101101
BRAILLE PATTERN DOTS-1357	⡕	&#10325;	&#x2855	170	AA	10101010
